Latitude and Longitude,Class of Land,vh,vv,RVI
"(10.324181275911162, 105.26071918118518)",Rice,0.0035642011,0.0181130245,0.2666844817471051
"(10.325089733570481, 105.26026495235556)",Rice,0.0057961959,0.10458495470000001,0.04813181061031147
"(10.325089733570481, 105.2448211721478)",Rice,0.0036928121,0.0292734262,0.14996562302342747
"(10.324181275911162, 105.24300425682924)",Rice,0.00417489,0.08635169270000001,0.039615337246303686
"(10.32281858942218, 105.27570873256332)",Rice,0.0033957360000000003,0.0368680507,0.09796906078834483
"(10.323727047081501, 105.28252216500792)",Rice,0.0037324426,0.019756997000000002,0.2533615540018316
"(10.31963898761456, 105.23937042619212)",Rice,0.0048614512,0.0557983592,0.09075223186449005
"(10.32281858942218, 105.28161370734864)",Rice,0.0030740218,0.020631954100000002,0.18678140937403134
"(10.324635504740822, 105.28161370734864)",Rice,0.0027470056,0.1018300354,0.01702922111038663
"(10.32327281825184, 105.26117341001483)",Rice,0.0038682604000000002,0.027114512400000002,0.17646278154016565
"(10.32327281825184, 105.2788883343708)",Rice,0.0016417131,0.0159212723,0.11431635707873383
"(10.324181275911162, 105.2516346045924)",Rice,0.0082110446,0.042839244000000005,0.25802412001009223
"(10.323727047081501, 105.23982465502175)",Rice,0.006303126,0.2002955079,0.02131585740349774
"(10.31963898761456, 105.23028584959931)",Rice,0.0065836147000000005,0.1983881295,0.02302584652435083
"(10.32327281825184, 105.28706445330431)",Rice,0.0037226274,0.042340409,0.09189788194073545
"(10.324181275911162, 105.27752564788187)",Rice,0.0034806745,0.0917704999,0.027941492487245187
"(10.323727047081501, 105.26480724065195)",Rice,0.0036153928,0.1801565439,0.011037594533640435
"(10.321910131762861, 105.2266520189622)",Rice,0.0032904893000000003,0.0197030362,0.21654211202308912
"(10.324181275911162, 105.25072614693312)",Rice,0.0083133718,0.0518841855,0.20528513096229026
"(10.32327281825184, 105.27071221543727)",Rice,0.0047880551,0.029461991000000003,0.20907733708359658
"(10.325089733570481, 105.25890226586662)",Rice,0.013517772800000001,0.260050416,0.04393587832019273
"(10.321455902933202, 105.25208883342202)",Rice,0.0175640788,0.11335780470000001,0.1965530057984237
"(10.324635504740822, 105.26162763884446)",Rice,0.0073358086,0.13334459070000002,0.047630110620979035
"(10.325089733570481, 105.28751868213396)",Rice,0.0017813812000000001,0.0313904397,0.049778444384011813
"(10.32009321644422, 105.24845500278491)",Rice,0.0054822024,0.1711696982,0.02186830477211663
"(10.324181275911162, 105.23982465502175)",Rice,0.0055574998,0.0654687211,0.08754898457487446
"(10.31963898761456, 105.23891619736247)",Rice,0.0072580553,0.0762428641,0.10250699787006443
"(10.325089733570481, 105.26389878299267)",Rice,0.0033892163,0.013581611200000001,0.35698863670700537
"(10.321455902933202, 105.26117341001483)",Rice,0.012268643800000001,0.0953464583,0.15397314998248024
"(10.319184758784901, 105.22710624779182)",Rice,0.0053394362,0.0693154037,0.07650963692278333
"(10.321001674103542, 105.25254306225168)",Rice,0.0079891197,0.1153987348,0.06590217751195443
"(10.321455902933202, 105.23164853608824)",Rice,0.0055009415,0.10868565740000001,0.0422953696347683
"(10.324181275911162, 105.24936346044419)",Rice,0.0067938603,0.0937652588,0.07024294629442668
"(10.324181275911162, 105.27979679203008)",Rice,0.0013831612,0.0101064621,0.1670746279931084
"(10.324181275911162, 105.2598107235259)",Rice,0.0077839983,0.1220888123,0.058693057122463387
"(10.324181275911162, 105.28706445330431)",Rice,0.0043356642,0.0176804177,0.34956939330233927
"(10.32281858942218, 105.27934256320043)",Rice,0.0037455417,0.0199363511,0.2515980841867183
"(10.320547445273881, 105.22710624779182)",Rice,0.0058892285,0.0692840442,0.08771066671691624
"(10.32327281825184, 105.26162763884446)",Rice,0.0027460346000000003,0.0410727412,0.06275215412306524
"(10.324635504740822, 105.25208883342202)",Rice,0.0069961348000000005,0.09757264700000001,0.0692220045492593
"(10.321001674103542, 105.25027191810346)",Rice,0.0510638468,0.1455569565,0.5294026183043542
"(10.318730529955241, 105.22756047662148)",Rice,0.009549316,0.11820092800000001,0.08174774496286596
"(10.31963898761456, 105.23255699374752)",Rice,0.0081431903,0.1546784341,0.04473873937296352
"(10.323727047081501, 105.23800773970319)",Rice,0.0064960336,0.1339870393,0.03977373608450877
"(10.323727047081501, 105.27797987671151)",Rice,0.0045069829,0.052890699400000005,0.08801310094870445
"(10.323727047081501, 105.26844107128906)",Rice,0.0033640778000000003,0.1330548972,0.015489837608748157
"(10.31963898761456, 105.2416415703403)",Rice,0.0051197363,0.1459011883,0.024967536467767185
"(10.32327281825184, 105.25663112171844)",Rice,0.008215961,0.1625961065,0.04219584815578629
"(10.32327281825184, 105.27979679203008)",Rice,0.0054060747,0.0087844562,0.9405569337184897
"(10.323727047081501, 105.28888136862287)",Rice,0.0055533601,0.0927550942,0.05370410003098641
"(10.324635504740822, 105.26344455416304)",Rice,0.0018390210000000001,0.0108405398,0.22094476110722777
"(10.324181275911162, 105.26208186767411)",Rice,0.0046377247,0.013251202200000001,0.5280086101897619
"(10.319184758784901, 105.23573659555498)",Rice,0.005716939900000001,0.07932112370000001,0.06972449667086672
"(10.320547445273881, 105.25435997757023)",Rice,0.0045353328,0.0172581822,0.379736908117294
"(10.31963898761456, 105.24255002799958)",Rice,0.0046225553,0.08400994540000001,0.04764240319638151
"(10.320547445273881, 105.23619082438464)",Rice,0.0032809232000000003,0.021999906700000002,0.18701097665450117
"(10.324181275911162, 105.23709928204391)",Rice,0.0033307094,0.0326637402,0.11259310601870126
"(10.324635504740822, 105.26026495235556)",Rice,0.0061917114,0.0689242333,0.09466247367878369
"(10.32009321644422, 105.23846196853285)",Rice,0.0044982452,0.0765163824,0.05233346846550581
"(10.325089733570481, 105.25617689288879)",Rice,0.0050331224,0.1097052917,0.03674962951910458
"(10.321455902933202, 105.23074007842897)",Rice,0.006527835,0.0474874564,0.16805005503862228
"(10.325089733570481, 105.26071918118518)",Rice,0.0025704016,0.035602867600000004,0.06989118969811504
"(10.323727047081501, 105.24073311268103)",Rice,0.0100588864,0.07626508180000001,0.15910643775980116
"(10.323727047081501, 105.24345848565886)",Rice,0.0015542879,0.0087250164,0.2351860761135899
"(10.325089733570481, 105.27979679203008)",Rice,0.0042634648,0.0224280972,0.2553542141581264
"(10.323727047081501, 105.27752564788187)",Rice,0.0144202719,0.10001076760000001,0.17893875055009492
"(10.318276301125582, 105.22619779013255)",Rice,0.0158094186,0.1184013262,0.1617159699065539
"(10.321455902933202, 105.22710624779182)",Rice,0.007187924300000001,0.2136574984,0.023487274838294006
"(10.325089733570481, 105.2666241559705)",Rice,0.0034123145000000002,0.024959983300000002,0.16683678194421792
"(10.321001674103542, 105.26026495235556)",Rice,0.0057993098,0.1035142094,0.048878024127078236
"(10.32009321644422, 105.24118734151068)",Rice,0.0030584550000000003,0.0448411517,0.06453795688528591
"(10.324635504740822, 105.2857017668154)",Rice,0.0029651099,0.0487261713,0.05495348492179656
"(10.32009321644422, 105.24209579916996)",Rice,0.0067028464,0.0892775953,0.07382012496785992
"(10.32281858942218, 105.25572266405916)",Rice,0.007821532,0.0782994851,0.10947980259022463
"(10.324635504740822, 105.25663112171844)",Rice,0.0075181373,0.20272818210000002,0.02704785115804933
"(10.325089733570481, 105.25345151991095)",Rice,0.0066391109,0.057347688800000005,0.13368703517497882
"(10.32327281825184, 105.27707141905222)",Rice,0.0069665676,0.1092276722,0.05872342484485639
"(10.323727047081501, 105.22892316311038)",Rice,0.0028245542,0.0212320033,0.16092912160816597
"(10.32327281825184, 105.2334654514068)",Rice,0.0101783127,0.0356248096,0.4190164270016511
"(10.319184758784901, 105.23846196853285)",Rice,0.0026625388,0.0766593888,0.02459880558419604
"(10.325089733570481, 105.26753261362978)",Rice,0.003383535,0.0809381753,0.03215191840926099
"(10.318730529955241, 105.2334654514068)",Rice,0.0071700057,0.0405503698,0.23296112996446983
"(10.324635504740822, 105.28115947851899)",Rice,0.009265512200000001,0.0684987828,0.16451056011647236
"(10.324181275911162, 105.27525450373366)",Rice,0.0064255986000000005,0.08918919410000001,0.06968555253465655
"(10.319184758784901, 105.22846893428076)",Rice,0.002836101,0.0300995968,0.10107464556662449
"(10.324181275911162, 105.24073311268103)",Rice,0.0075526685,0.061274230500000006,0.14540298483643072
"(10.323727047081501, 105.2788883343708)",Rice,0.0055589196,0.0473223366,0.13633047112361849
"(10.324181275911162, 105.26571569831123)",Rice,0.006624721,0.0892984122,0.07259828249152511
"(10.32009321644422, 105.24800077395528)",Rice,0.0155564519,0.1501860768,0.115020400724605
"(10.32327281825184, 105.23164853608824)",Rice,0.0081921993,0.0876435712,0.0999699090492622
"(10.318730529955241, 105.22983162076967)",Rice,0.0049716914000000004,0.0847561359,0.05217056126805314
"(10.323727047081501, 105.24436694331814)",Rice,0.0020802063,0.0197963491,0.11728735469763567
"(10.324181275911162, 105.28206793617827)",Rice,0.0036865098,0.0362054147,0.11237134985033159
"(10.325089733570481, 105.28524753798575)",Rice,0.0052874601,0.0159811098,0.4958190543343699
"(10.320547445273881, 105.22756047662148)",Rice,0.0071823811,0.0743409544,0.10460194225805643
"(10.32009321644422, 105.24527540097742)",Rice,0.0051828031,0.058549746900000005,0.09276093404721975
"(10.324635504740822, 105.26980375777799)",Rice,0.0027215469,0.06429014350000001,0.032738431279558076
"(10.323727047081501, 105.24527540097742)",Rice,0.0076802745000000006,0.1104076281,0.06634634327013113
"(10.320547445273881, 105.23800773970319)",Rice,0.006010690700000001,0.051749400800000005,0.13427796574136694
"(10.324635504740822, 105.26616992714088)",Rice,0.0030002133,0.028818149100000003,0.11581677119987281
"(10.323727047081501, 105.27707141905222)",Rice,0.020312767500000002,0.2108144909,0.10421659654083121
"(10.321001674103542, 105.23028584959931)",Rice,0.0079557775,0.1290659308,0.055962855695075885
"(10.319184758784901, 105.23437390906608)",Rice,0.0036980452,0.061176460200000005,0.05443863463696131
"(10.320547445273881, 105.25208883342202)",Rice,0.0097417301,0.11080326880000001,0.09189467261511261
"(10.321910131762861, 105.24618385863673)",Rice,0.0013211368000000002,0.1166770533,0.004738803027234393
"(10.325089733570481, 105.26208186767411)",Rice,0.0083608767,0.1408760548,0.053042410632795634
"(10.321455902933202, 105.2266520189622)",Rice,0.0050289659000000006,0.3217175901,0.007637680720095856
"(10.32327281825184, 105.28797291096359)",Rice,0.0045395717,0.019430127000000002,0.32967684759283294
"(10.318730529955241, 105.2348281378957)",Rice,0.0075276238,0.0465081036,0.20798180752211942
"(10.324181275911162, 105.24890923161456)",Rice,0.0061308774,0.1223745719,0.04168325469990729
"(10.323727047081501, 105.2416415703403)",Rice,0.0104652541,0.0722558051,0.1799950358558006
"(9.983509653666161, 105.50282314738331)",Rice,0.0221031979,0.0499578938,0.6795030394169582
"(9.966248958139081, 105.52735150418388)",Rice,0.0236791298,0.1309904754,0.23960790013326141
"(9.962160898672142, 105.52008384290963)",Rice,0.0143336691,0.1277423501,0.1281784107412386
"(9.98169273834752, 105.53143956365062)",Rice,0.0257014837,0.086484395,0.4386215780841669
"(9.974425077072961, 105.48510822302734)",Rice,0.009521557,0.2623566985,0.026215626252821266
"(9.99259423025936, 105.51645001227251)",Rice,0.0223847423,0.1996528655,0.1280407856732861
"(9.982601196006842, 105.54779180151766)",Rice,0.035965912,0.11504793910000001,0.4649127246088933
"(9.94490020314506, 105.52144652939856)",Rice,0.0336013213,0.0710960701,0.7272617268346168
"(9.991685772600041, 105.49600971493871)",Rice,0.0368613265,0.1253655255,0.4332437634764001
"(9.975787763561941, 105.49373857079053)",Rice,0.0390108302,0.0956595466,0.6236338320456339
"(9.992140001429702, 105.51645001227251)",Rice,0.0203042608,0.1885350794,0.1212613216394479
"(9.979421594199222, 105.50963657982791)",Rice,0.0190188475,0.1083550081,0.23078939191669715
"(9.976241992391602, 105.48601668068665)",Rice,0.019736588000000003,0.1638132185,0.14103834652635133
"(9.983509653666161, 105.52871419067279)",Rice,0.0583669692,0.6735958457,0.09006938078676943
"(9.990777314940722, 105.49964354557582)",Rice,0.0414073467,0.20116060970000002,0.28211485266336433
"(9.95443900856792, 105.52825996184316)",Rice,0.019888682300000002,0.23793660100000003,0.085699986110999
"(9.994411145578, 105.50872812216863)",Rice,0.0182762686,0.2279649228,0.08088169311214596
"(9.98805194196276, 105.51054503748719)",Rice,0.0136889284,0.15151947740000002,0.09540386266137738
"(9.947171347293361, 105.51735846993179)",Rice,0.0161149614,0.1590754688,0.11159335305970235
"(9.97669622122126, 105.53734453843595)",Rice,0.044451888700000004,0.17093534770000002,0.3750294498815516
"(9.952622093249282, 105.51554155461324)",Rice,0.0391449369,0.09160427,0.6552617125507815
"(9.964886271650101, 105.50009777440548)",Rice,0.0134340758,0.5380414724,0.015208356746481841
"(9.98941462845174, 105.52962264833207)",Rice,0.0421522893,0.076185368,0.8503687451683377
"(9.95943552569418, 105.50691120685008)",Rice,0.0214528721,0.3028964102,0.06804069557367715
"(9.971245475265341, 105.49600971493871)",Rice,0.0210889727,0.10474784670000001,0.27442996434754613
"(9.97533353473228, 105.53371070779883)",Rice,0.027481120100000003,0.2615849078,0.11725086472212386
"(9.980330051858541, 105.51009080865757)",Rice,0.0172896627,0.1419075876,0.143164858785073
"(9.966248958139081, 105.53280225013955)",Rice,0.0418488309,0.5006610155,0.08569856480666645
"(9.977150450050921, 105.50827389333898)",Rice,0.0495549105,0.1562448442,0.47263160137312843
"(9.97987582302888, 105.49600971493871)",Rice,0.01531481,0.0900418758,0.22168395462528934
"(9.966248958139081, 105.49782663025726)",Rice,0.0227400567,0.1702938527,0.16173234991953797
"(9.977604678880581, 105.51508732578358)",Rice,0.0368285626,0.11479757730000001,0.47882412797362073
"(9.985326568984801, 105.50645697802042)",Rice,0.0187798627,0.2596686482,0.07006179518470303
"(9.98805194196276, 105.4991893167462)",Rice,0.0122454967,0.17145368460000002,0.06884363107129937
"(9.985780797814462, 105.54506642853983)",Rice,0.0323743224,0.1168801337,0.40408251919753896
"(9.986689255473781, 105.51099926631684)",Rice,0.0435375981,0.1814189404,0.3405718584973127
"(9.99123154377038, 105.51327041046503)",Rice,0.0115998518,0.0939648449,0.14570035032397471
"(9.974425077072961, 105.50827389333898)",Rice,0.019184371500000002,0.2145341635,0.09406793750821567
"(9.969882788776362, 105.49646394376836)",Rice,0.0517366566,0.3681204319,0.17302358096848505
"(9.956710152716221, 105.51645001227251)",Rice,0.022419944400000003,0.054745104200000005,0.6264419562589872
"(9.983509653666161, 105.53416493662849)",Rice,0.020726986200000002,0.18350537120000002,0.1293234861279202
"(9.976241992391602, 105.48556245185699)",Rice,0.0119830891,0.1296547651,0.09843378072854668
"(9.9512594067603, 105.51463309695396)",Rice,0.0284941532,0.1248900741,0.3202746531459599
"(9.972608161754321, 105.53461916545811)",Rice,0.0270760991,0.1120712683,0.3433417707322981
"(9.9785131365399, 105.52825996184316)",Rice,0.0378823914,0.1732940972,0.3039119137209925
"(9.996682289726301, 105.5005520032351)",Rice,0.0354279988,0.0889335275,0.6082062209697318
"(9.99259423025936, 105.52008384290963)",Rice,0.0288569145,0.1277232915,0.3164678089313695
"(9.996228060896641, 105.51463309695396)",Rice,0.0359254107,0.47018721700000005,0.07564702342645431
"(9.989868857281401, 105.52053807173928)",Rice,0.0670701116,0.1392357498,0.741457366493427
"(9.977150450050921, 105.5128161816354)",Rice,0.020283075,0.131513074,0.1953752538766879
"(9.953530550908601, 105.52871419067279)",Rice,0.0577620193,0.3039334416,0.2552753935315283
"(9.973062390583982, 105.5209923005689)",Rice,0.0227246825,0.105886668,0.29708982614643326
"(9.990323086111061, 105.51054503748719)",Rice,0.026171485,0.1399364173,0.2501595570494957
"(9.954893237397581, 105.52508036003567)",Rice,0.0227548908,0.0651344135,0.5269483933510707
"(9.969428559946701, 105.50191468972403)",Rice,0.0243309978,0.2455165386,0.10829843587913135
"(9.972608161754321, 105.48965051132376)",Rice,0.0372166224,0.21291762590000002,0.22956500601016397
"(9.958072839205201, 105.52144652939856)",Rice,0.026564927800000002,0.1626104414,0.21048738168616643
"(9.973970848243301, 105.48737936717555)",Rice,0.0500721447,0.14724740390000002,0.5113274545502542
"(9.974879305902622, 105.48692513834592)",Rice,0.0370972045,0.06370790300000001,0.8929928094018247
"(9.97987582302888, 105.5141788681243)",Rice,0.019973900200000002,0.1066116467,0.2507137318113681
"(9.99123154377038, 105.50191468972403)",Rice,0.0284799505,0.1936770827,0.1836025615648789
"(9.95943552569418, 105.5323480213099)",Rice,0.0119916759,0.3890888691,0.020679137462615002
"(9.9626151275018, 105.52326344471712)",Rice,0.0230102036,0.0827203989,0.4061062028610104
"(9.952167864419621, 105.52689727535423)",Rice,0.0250755753,0.26352322100000003,0.1024458987310008
"(9.985780797814462, 105.54688334385838)",Rice,0.022799976200000002,0.07559783760000001,0.4461525789367449
"(9.977150450050921, 105.51009080865757)",Rice,0.0132347802,0.1308617592,0.1113409094581457
"(9.985780797814462, 105.50918235099826)",Rice,0.018003480500000002,0.12325838210000001,0.18199409951638942
"(9.984418111325482, 105.5073654356797)",Rice,0.0215874203,0.1421744674,0.19144404344530955
"(9.94807980495268, 105.51735846993179)",Rice,0.0301071946,0.20041218400000002,0.18880098925493624
"(9.974879305902622, 105.49010474015338)",Rice,0.0321021229,0.0755531639,0.6513397415777263
"(9.969428559946701, 105.49555548610908)",Rice,0.020155213800000002,0.216816783,0.09921916396536806
"(9.999861891533921, 105.50645697802042)",Rice,0.032899141300000004,0.175578922,0.2507530875990942
"(9.957164381545882, 105.53053110599134)",Rice,0.0149522759,0.25653994080000003,0.05169932456182449
"(9.958981296864522, 105.51690424110214)",Rice,0.0781245977,0.0762279406,1.4403598888385316
"(9.950805177930642, 105.51463309695396)",Rice,0.0238625836,0.0600614324,0.6064664756257415
"(9.959889754523841, 105.53007687716172)",Rice,0.0240437612,0.2660937905,0.09542401535000244
"(9.995319603237322, 105.50146046089439)",Rice,0.0140027367,0.061918895700000004,0.31683348129131
"(9.9785131365399, 105.50918235099826)",Rice,0.0354273058,0.1766241342,0.27315260170164457
"(9.959889754523841, 105.52508036003567)",Rice,0.0298313331,0.1054208279,0.41433599555333445
"(9.972608161754321, 105.48874205366448)",Rice,0.0114434231,0.1616772264,0.06797834943780366
"(9.966703186968742, 105.50009777440548)",Rice,0.025784114400000002,0.17046423260000002,0.19049312631911344
"(9.966703186968742, 105.53189379248028)",Rice,0.026603505000000003,0.06671342250000001,0.6088742849465585
"(9.987597713133102, 105.50509429153152)",Rice,0.0129193738,0.1057155579,0.14374849632107198
"(9.9467171184637, 105.5241719023764)",Rice,0.040734238900000004,0.1904762238,0.29579319355452244
"(9.982146967177181, 105.52780573301351)",Rice,0.0231728852,0.2841665447,0.0828138040653184
"(9.984418111325482, 105.49146742664232)",Rice,0.0831757858,0.1164475828,1.0758167214079655
"(9.977604678880581, 105.52462613120602)",Rice,0.0131801134,0.0687267557,0.2582011806114282
"(9.961252441012821, 105.51872115642072)",Rice,0.0167617463,0.3105702698,0.04635068510346827
"(9.984418111325482, 105.50918235099826)",Rice,0.027060350400000002,0.16419471800000002,0.2128828547897622
"(9.955347466227241, 105.52598881769495)",Rice,0.0513166487,0.3077737391,0.21609352355257852
"(9.97987582302888, 105.54052414024343)",Rice,0.019943336000000002,0.8624818325,0.013590638814880105
"(9.958527068034861, 105.52462613120602)",Rice,0.0346424356,0.0713463947,0.7474505569703764
"(9.985326568984801, 105.53416493662849)",Rice,0.0165257845,0.2745323181,0.05411698317570406
"(9.987597713133102, 105.52553458886531)",Rice,0.0173262879,0.07045421,0.3507690134501871
"(9.978967365369561, 105.52553458886531)",Rice,0.0409302115,0.1421279907,0.4229043820158411
"(9.977604678880581, 105.4878335960052)",Rice,0.018839512000000003,0.2059961408,0.09702121198503881
"(9.974879305902622, 105.52371767354674)",Rice,0.022191342000000003,0.0378416963,0.8989796390748303
"(9.994865374407661, 105.51099926631684)",Rice,0.0324069299,0.2154375613,0.18912455551510537
"(9.977604678880581, 105.53825299609522)",Rice,0.0095754042,0.12340644,0.07728712236926889
"(9.97351661941364, 105.54279528439164)",Rice,0.0273361765,0.1501898468,0.24169830741620887
"(9.99577383206698, 105.50554852036115)",Rice,0.021422579900000002,0.1373602897,0.19822671256272623
"(9.974879305902622, 105.48647090951627)",Rice,0.0442475602,0.1577685177,0.4100294794539632
"(9.9671574157984, 105.52326344471712)",Rice,0.0238641817,0.1571269184,0.19151111387510825
"(9.980784280688201, 105.5264430465246)",Rice,0.0326713286,0.15430280570000002,0.29217152557075543
"(9.964432042820441, 105.4991893167462)",Rice,0.020606707800000002,0.14982593060000002,0.16816815516083014
"(9.981238509517862, 105.5060027491908",Rice,0.020510448100000002,0.059441957600000005,0.5197271572949052
"(9.98805194196276, 105.50554852036115)",Rice,0.0210659076,0.125383988,0.21822105652706913
"(9.986689255473781, 105.49146742664232)",Rice,0.0169505998,0.418803215,0.030688509807505673
"(9.969428559946701, 105.49737240142764)",Rice,0.0272787977,0.1125985533,0.34449008793053343
"(9.987597713133102, 105.50009777440548)",Rice,0.029096374300000002,0.0949615911,0.4543403646599998
"(9.977150450050921, 105.54279528439164)",Rice,0.028920240700000002,0.2279150933,0.151140442405598
"(9.973062390583982, 105.49101319781266)",Rice,0.0166454818,0.1113110185,0.18767698446112377
"(9.952167864419621, 105.52190075822818)",Rice,0.0264220163,0.1264851391,0.2873208959582125
"(9.985326568984801, 105.49782663025726)",Rice,0.015139753,0.12191002070000001,0.14686580563838075
"(9.976241992391602, 105.48647090951627)",Rice,0.0241638627,0.1363817453,0.2335672172957202
"(9.979421594199222, 105.49555548610908)",Rice,0.030524706500000002,0.0771115869,0.6040865076444414
"(9.984418111325482, 105.54506642853983)",Rice,0.0290230848,0.19215622540000002,0.19013348062263094
"(9.972608161754321, 105.53734453843595)",Rice,0.021611519200000002,0.1060249135,0.2786929293424052
"(9.980784280688201, 105.49646394376836)",Rice,0.0329561271,0.130702287,0.36145708125413994
"(9.98487234015514, 105.50146046089439)",Rice,0.0292328261,0.1235900298,0.334644528695625
"(9.961252441012821, 105.52598881769495)",Rice,0.0180195831,0.111098282,0.20854394984171412
"(9.94989672027132, 105.51826692759107)",Rice,0.041636873000000005,0.30447229740000004,0.16690044340623775
"(9.98941462845174, 105.50827389333898)",Rice,0.033905837700000004,0.3414517641,0.10859351380742858
"(9.97533353473228, 105.48556245185699)",Rice,0.026473809,0.0758882016,0.5261098423810692
"(9.9830554248365, 105.53870722492488)",Rice,0.018428795,0.2708644271,0.06431288795996544
"(9.98805194196276, 105.5377987672656)",Rice,0.0326058827,0.2236132771,0.18158774271161648
"(9.982146967177181, 105.49646394376836)",Rice,0.029947305100000002,0.11680343750000001,0.36874500891570167
"(9.986689255473781, 105.50373160504259)",Rice,0.0343767703,0.0825893432,0.6373346205191188
"(9.994411145578, 105.51781269876145)",Rice,0.0236919448,0.0526737384,0.6912158643595366
"(9.982601196006842, 105.50327737621296)",Rice,0.0197233409,0.35138213630000004,0.049009995965948246
"(9.978967365369561, 105.50418583387224)",Rice,0.021574536300000002,0.14489029350000002,0.1866330098621845
"(10.001224578022901, 105.50464006270187)",Rice,0.0393844172,0.1302200556,0.4476006147736545
"(9.96897433111704, 105.52371767354674)",Rice,0.0461768918,0.1130607277,0.6246381736733091
"(9.950805177930642, 105.52008384290963)",Rice,0.0379429162,0.1805236042,0.28952009590544325
"(9.98941462845174, 105.4991893167462)",Rice,0.0360144898,0.4434247315,0.08235226576109045
"(9.97351661941364, 105.53643608077667)",Rice,0.025716869200000003,0.17656378450000002,0.18132413427850502
"(9.97533353473228, 105.52144652939856)",Rice,0.051074039200000004,0.14142368730000002,0.546665784627176
"(9.9671574157984, 105.49373857079053)",Rice,0.0315903947,0.35636782650000004,0.09294266699621462
"(9.967611644628061, 105.50827389333898)",Rice,0.0271383878,0.1467035115,0.24672000786285844
"(9.982601196006842, 105.51690424110214)",Rice,0.012087394500000001,0.08399115500000001,0.17849225624213286
"(9.9830554248365, 105.53825299609522)",Rice,0.022446462900000002,0.1709016412,0.15822386419352888
